Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.561531,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,72.846375,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,73.426834,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.081490,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,74.257095,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,75.834381,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,76.005836,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.629639,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.581390,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,76.253204,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,77.208389,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,78.063156,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.534134,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,77.810898,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,78.185623,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,77.960281,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.667847,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,77.808434,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.437149,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,79.322029,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,75.805008,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,75.596825,173788400
2020-02-04,78.827499,79.910004,78.407501,79.712502,78.092545,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,78.729332,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,79.650238,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,78.567581,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,78.940735,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,78.464455,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,80.327812,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,79.755806,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,79.775436,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,78.314705,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,79.448906,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,78.633858,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,76.853981,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,73.203377,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,70.723824,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,71.845779,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,67.149330,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.110046,426510000
2020-03-02,70.570000,75.360001,69.430000,74.702499,73.358040,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,71.028244,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,74.322861,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,71.912056,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,70.957054,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,65.344910,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,70.051155,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,67.618248,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,60.940620,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,68.241806,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,59.462711,322423600
2020-03-17,61.877499,64.402496,59.599998,63.215000,62.077293,324056000
2020-03-18,59.942501,62.500000,59.279999,61.667500,60.557640,300233600
2020-03-19,61.847500,63.209999,60.652500,61.195000,60.093651,271857200
2020-03-20,61.794998,62.957500,57.000000,57.310001,56.278568,401693200
2020-03-23,57.020000,57.125000,53.152500,56.092499,55.082977,336752800
2020-03-24,59.090000,61.922501,58.575001,61.720001,60.609196,287531200
2020-03-25,62.687500,64.562500,61.075001,61.380001,60.275322,303602000
2020-03-26,61.630001,64.669998,61.590000,64.610001,63.447182,252087200
2020-03-27,63.187500,63.967499,61.762501,61.935001,60.820339,204216800
2020-03-30,62.685001,63.880001,62.349998,63.702499,62.556023,167976400
2020-03-31,63.900002,65.622498,63.000000,63.572498,62.428360,197002000
2020-04-01,61.625000,62.180000,59.782501,60.227501,59.143566,176218400
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.130470,165934000
2020-04-03,60.700001,61.424999,59.742500,60.352501,59.266312,129880000
2020-04-06,62.724998,65.777496,62.345001,65.617500,64.436554,201820400
2020-04-07,67.699997,67.925003,64.750000,64.857498,63.690250,202887200
2020-04-08,65.684998,66.842499,65.307503,66.517502,65.320351,168895200
2020-04-09,67.175003,67.517502,66.175003,66.997498,65.791710,161834800
2020-04-13,67.077499,68.425003,66.457497,68.312500,67.083046,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,70.470955,194994800
